#
# Quote pertaining to Whitney Houston's death (Fri Aug 24 16:40:21 2012)
#
# XVals	
4.5	10	4.1	0.107
5.5	9	5.1	0.0688
9.5	8	9.1	0.22
10	7	8.6	0.0819
6.5	6	4.1	0.3
6.5	5	2.1	0.0397
7	4	1.6	0.0596
16	3	2.6	0.1013
